Date,Food Name,Calories,Total Fat (g),Saturated Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrate (g),Dietary Fiber (g),Sugars (g),Protein (g)
2025-03-03,Oatmeal with banana and almond butter,420,14,2,0,85,58,7,14
2025-03-03,Grilled chicken breast with rice and broccoli,580,8,1,110,420,72,5,52
2025-03-03,Greek yogurt with berries,280,6,2,20,120,32,2,22
2025-03-03,Salmon with sweet potato and greens,610,18,3,95,380,55,8,48
2025-03-03,Mixed nuts and apple,320,22,3,0,45,28,4,8
2025-03-04,Scrambled eggs with whole grain toast,380,14,4,420,520,38,4,28
2025-03-04,Turkey and avocado wrap,520,18,4,65,680,48,6,38
2025-03-04,Cottage cheese with pineapple,250,4,2,20,480,26,1,28
2025-03-04,Beef stir fry with noodles,680,22,6,85,820,72,6,48
2025-03-04,Protein shake with banana,380,6,1,15,180,48,3,32
2025-03-05,Overnight oats with protein powder,480,12,2,30,280,62,8,38
2025-03-05,Tuna salad with crackers,420,16,3,55,680,32,4,38
2025-03-05,Post-run recovery shake,340,4,1,10,160,56,2,28
2025-03-05,Pasta with meat sauce,720,18,5,75,680,88,8,48
2025-03-05,Rice cakes with peanut butter,280,12,2,0,220,32,3,10
2025-03-06,Smoothie bowl with granola,420,14,3,20,180,58,6,18
2025-03-06,Chicken quinoa bowl,580,14,2,85,480,68,8,52
2025-03-06,Hard boiled eggs and veggies,220,12,3,420,280,12,4,18
2025-03-06,Baked cod with roasted vegetables,460,10,2,90,520,42,8,48
2025-03-06,Chocolate milk,320,8,5,30,280,46,0,18
2025-03-07,Pancakes with maple syrup,580,12,3,120,680,96,4,14
2025-03-07,Veggie burger with sweet potato fries,620,18,4,0,820,76,10,28
2025-03-07,Hummus with pita and carrots,380,14,2,0,580,46,8,14
2025-03-07,Pizza (2 slices),680,24,8,55,1280,78,4,32
2025-03-08,Pre-run oatmeal,380,8,1,0,180,62,6,14
2025-03-08,Post-run: banana and protein shake,420,6,1,20,180,62,3,38
2025-03-08,Grilled salmon with rice and salad,680,20,4,95,480,62,6,52
2025-03-08,Trail mix,380,22,4,0,120,36,4,12
2025-03-08,Chicken and vegetable soup,340,8,2,75,880,38,6,32
2025-03-09,Egg white omelette with veggies,280,8,2,10,520,18,4,38
2025-03-09,Turkey meatballs with zucchini noodles,480,16,4,110,680,24,6,52
2025-03-09,Greek yogurt parfait,320,6,2,20,180,42,3,22
2025-03-09,Steak with roasted potatoes and asparagus,720,24,8,120,480,52,8,58
